civil_status,dob,name,occupation,party,political_career,religion
 : Married, : 03-10-1939,"Hon. Wickremaratne, Kingsley Tissa, M.P.",,People's Alliance (PA),,
 : Married, : 10-07-1901,"Hon. (Dr.) Wickremasinghe, Sugiswara Abeywardena, M.P.",,The Ceylon Communist Party ((CCP),,
 : None,,"Hon. Wickramasingha, Geekiyanage Don Herbert, M.P.",,Sri Lanka Freedom Party(SLFP),,
 : None, : 04-03-1945,"Hon. Wickramaratne, Dodangodage Don Edwin, M.P.",,Sri Lanka Freedom Party(SLFP),,
 : Married, : 08-02-1930,"Hon. Wickramasinghe, Diunnugallage Peter, M.P.",,Sri Lanka Freedom Party(SLFP),, : Roman Catholicism
 : Married, : 10-03-1921,"Hon. Wickramasuriya, Perumabadu Piyasena, M.P.",,Sri Lanka Freedom Party(SLFP),,
 : None,,"Hon. Wickramanayake, Soma, M.P.",,Lanka Sama Samaja Party (LSSP),,
 : None,,"Hon. Wickramanayake, Vincent Stuart de Silva, M.P.",,Ceylon National Congress (CNC),,
 : Married, : 05-01-1921,"Hon. Wettewa, Gamlath Rallage Punchi Banda, M.P.",,Sri Lanka Freedom Party(SLFP),,
 : None,,"Hon. Weragama, William Harold, M.P.",,United National Party (UNP),,
 : Married, : 16-07-1924,"Hon. Werapitiya, Tikiri Banda, M.P.",,United National Party (UNP),,
 : Married, : 15-09-1946,"Hon. Welagedara, Sarath Chandra Bandara, M.P.", : Licensed Surveyor,United National Party (UNP),,
 : None, : 12-08-1932,"Hon. Welegama, Weerakoon Mudiyanselage Raja, M.P.",,Sri Lanka Freedom Party(SLFP),,
 : Married, : 31-10-1915,"Hon. Welagedara, Welagedara Mudiyanselage Dingiri Banda, M.P.",,United National Party (UNP),,
 : Married, : 31-07-1966,"Hon. V.K. INDIKA, M.P.,, M.P.",,United People's Freedom Alliance(UPFA),"Provincial Council Member  from 1990 - 2003; Provincial Minister of Agriculture and Irrigation from 2003 -2004, Provincial Minister of Sports, Rural Development and Youth Affairs from 2004 - 2009; Provincail Minister ofr Education and Co-operatives from 2009.", : Buddhism
 : None, : 03-10-1925,"Hon. Weerasinghe, Weerasinghe Mudiyanselage Leelananda, M.P.",,Independent (Ind),,
 : Married, : 30-04-1951,"Hon. Weerawardhana, Ediriweera, M.P.",,,,
 : Married, : 26-05-1958,"Hon. Weerasinghe, Puwakdandawa Munendradasa Devaka, M.P.",,United National Party (UNP),,
 : Married, : 08-05-1926,"Hon. Weerasinghe, Puwakdandawa Jinadasa, M.P.",,United National Party (UNP),,
 : Married, : 04-09-1948,"Hon. Weerasinghe, Herath Mudiyanselage, M.P.",,,,
 : Married, : 26-05-1924,"Hon. Weerasekera, Dhanapala Philip Ranil, M.P.",,Lanka Sama Samaja Party (LSSP),,
 : Married,,"Hon. Weerasekara, Weerasekara Mudiyanselage Ukku Banda, M.P.",,Sri Lanka Freedom Party(SLFP),,
 : None, : 23-10-1917,"Hon. Weerasekara, Jinadasa Don, M.P.",,Sri Lanka Freedom Party(SLFP),,
 : Married, : 01-01-1899,"Hon. Weerakoon, Punchi Banda Aloysious, M.P.",,United National Party (UNP),,
 : Married, : 21-09-1932,"Hon. Weerakoon, Batty, M.P.",,,,
 : Married, : 26-12-1936,"Hon. (Prof.) W.A. Wiswa Warnapala, M.P.", : Academician,United People's Freedom Alliance(UPFA),, : Buddhism
 : None,,"Hon. Weerakoon, Athula Indika, M.P.",,Janatha Vimukthi Peramuna (JVP),,
 : Married, : 08-04-1945,"Hon. Wanninayake, Wanninayake Mudiyanselage Herath Banda, M.P.",,United National Party (UNP),,
 : None,,"Hon. Waskaduwa, J. Gunasena de Silva, M.P.",,Sri Lanka Progressive Front (SLPF),,
 : Married, : 23-11-1905,"Hon. Wanninayake, Ukku Banda, M.P.",,United National Party (UNP),,
 : Married, : 08-06-1921,"Hon. Wanniarachchi, Dharmadasa, M.P.",,Sri Lanka Freedom Party(SLFP),,
 : Married,,"Hon. Wanigasekera, David, M.P.",,LabourParty (LP),,
 : Married, : 16-06-1928,"Hon. Wanigasekera, Harish, M.P.",,United National Party (UNP),,
 : Married,,"Hon. Wanigaratne, Ahana Kapuge Don, M.P.",,United National Party (UNP),,
 : Married, : 17-07-1948,"Hon. Walpitagama, Ariyapala, M.P.", : Company Director,United National Party (UNP),Contested the Dvelopement Copuncil Election -1982., : Buddhism
 : Married, : 04-11-1940,"Hon. Walagambahu, Rajapriya Dayaratne, M.P.",,United National Party (UNP),, : Buddhism
 : Married, : 20-02-1917,"Hon. Waidyaratna, Norman James, M.P.",,United National Party (UNP),,
 : Married, : 04-02-1928,"Hon. Wadigamangawa, Abeysinghe Herath Mudiyanselage Saddhatissa, M.P.",,Sri Lanka Freedom Party(SLFP),,
 : Married, : 01-07-1952,"Hon. Wadigamangawa, A. H. M. Ashoka Premalal, M.P.",,United National Party (UNP),,
 : Married, : 07-07-1965,"Hon. Yapa, Mudiyanselage Nawaratna Banda, M.P.",,United People's Freedom Alliance(UPFA),, : Buddhism
 : Married, : 16-10-1925,"Hon. Yalegama, Manamperi Mudiyanselage Samararatna Bandara, M.P.",,Sri Lanka Freedom Party(SLFP),,
 : Married, : 08-06-1960,"Hon. YALEGAMA, S.B. BANDULA, M.P.",,People's Alliance (PA),Member of Pradeshiya Sabha - Matale 1993;  Member of Central Provincial Council - 1994,
 : Married, : 31-12-1950,"Hon. Y.G. PADMASIRI, M.P., , M.P.", : Politician,United People's Freedom Alliance(UPFA),"1967 - Starting the ""Pragathi Lama Samajaya"" at Batupitiya, Ruwanwella, joined the LSSP through the affiliated students' organisations of  Lanka Students' federation and the LSSP students' movements in 1972;Submitted  nominations for the Pradesheeya Sabha Election in 1987;
Contested for and won the First Provincial Council Election in 1988;Contested for and won the  Provincial Council Election in 1993,1999,2004, 2008;", : Buddhism
 : Married, : 30-06-1925,"Hon. Obeywansa, Kalinga, M.P.",,United National Party (UNP),,
, : 26-05-1950,"Hon. (Ven Dr.) OMALPE SOBHITHA THERO, M.P., Thero, M.P.",,Jathika Hela Urumaya (JHU),, : Buddhism
 : Married, : 21-09-1898,"Hon. Nugawela, Edward Alexander (Major), M.P.",,United National Party (UNP),,
 : Married, : 29-04-1935,"Hon. Muttetuwegama, Sarathchandra, M.P.",,The Ceylon Communist Party ((CCP),,
 : Married, : 14-12-1944,"Hon. Muthubanda, Samarasinghe Arachchilage, M.P.",,United National Party (UNP),, : Buddhism
 : None,,"Hon. Muthubanda, Pahuregedera, M.P.",,United National Party (UNP),,
 : Married, : 13-11-1926,"Hon. M.S. SELLASAMY, M.P.,, M.P.", : Trade Unionist,United National Party (UNP),, : Hindu
 : Married,,"Hon. Lye, Baba Zihiere, M.P.",,,, : Islam
 : Married, : 15-06-1926,"Hon. Durayappah, Alfred Thangarajah, M.P.",,Independent (Ind),,
 : None,,"Hon. Jotipala, Madduma Patabendige, M.P.",,Lanka Sama Samaja Party (LSSP),,
 : Married, : 08-06-1875,"Hon. Duraiswamy, Waitialingam, M.P.",,,,
 : Married, : 18-05-1949,"Hon. HUSSAIN AHAMED BHAILA, M.P.", : Businessman,United National Party (UNP),, : Islam
,,"Hon. Freeman, Herbert Rayner, M.P.",,Independent (Ind),,
 : Married, : 07-06-1935,"Hon. Iyoob, Maricar Nagooran, M.P.",,Elavar Democratic Front (EDF),, : Islam
 : Married, : 03-11-1899,"Hon. Gunawardena, Ratnakirti Senarat Serasinghe (Sir), M.P.",,United National Party (UNP),,
 : Married, : 29-09-1946,"Hon. Dunuwille, Tikiribanda Harindranath, M.P.",,United National Party (UNP),, : Buddhism
 : Married, : 07-09-1945,"Hon. (Mrs.) Renuka Herath, M.P.", : Teacher,United National Party (UNP),, : Buddhism
 : Single, : 26-03-1967,"Hon. Ellawala, Nalanda Sampath, M.P.",,People's Alliance (PA),,
 : Married, : 10-09-1933,"Hon. Ekanayake, Karapperu Wijetunge Rajapakse Mudiyansele, M.P.",,United National Party (UNP),, : Buddhism
 : Married, : 15-10-1939,"Hon. Ellawala, Nanda Sydney, M.P.",,Sri Lanka Freedom Party(SLFP),,
, : 29-11-1906,"Hon. Ekanayake, Ekanayake Mudiyanselage Sudu Bandara, M.P.",,United National Party (UNP),,
, : 25-07-1915,"Hon. Ethirmanasingham, Somasunderam Udayar, M.P.",,Independent (Ind),,
 : Married, : 14-08-1939,"Hon. (Mrs.) Ellawala, Surangani, M.P.",,People's Alliance (PA),, : Buddhism
,,"Hon. Ekanayake, Ekanayake Mudiyanselage Ran Banda, M.P.",,United National Party (UNP),,
, : 25-12-1927,"Hon. Ekanayake, Ekanayake Mudiyanselage Herath Banda, M.P.",,United National Party (UNP),,
 : Married, : 12-09-1946,"Hon. Ekanayake, Appuhamige Dingiri Banda, M.P.",,United National Party (UNP),, : Buddhism
 : Married, : 19-03-1948,"Hon. W.B. EKANAYAKE, M.P.,, M.P.", : Farming,United People's Freedom Alliance(UPFA),Chairman - Provincial Council; Minister - Provincial Council; Opposition Leader - Provincial Council., : Buddhism
,,"Hon. Ediriweera, Madurapala, M.P.",,United National Party (UNP),,
, : 03-08-1895,"Hon. Edirisuriya, Charles Francis Warnakula, M.P.",,Sri Lanka Freedom Party(SLFP),,
 : Married, : 15-03-1938,"Hon. Edirisuriya, Tennyson, M.P.",,Sri Lanka Freedom Party(SLFP),, : Buddhism
, : 02-10-1898,"Hon. Ebrahim, Meerakkuddy Mohamed, M.P.",,United National Party (UNP),,
 : Married, : 12-07-1960,"Hon. EARL GUNASEKARA, M.P.,, M.P.", : Businessman,United National Party (UNP),, : Buddhism
,,"Hon. Chamara Sampath Dasanayake, M.P., , M.P.",,United People's Freedom Alliance(UPFA),,
 : Married, : 10-06-1950,"Hon. Wickramaratna, D.D.W., M.P.", : Planter,People's Alliance (PA),Since 1970 to date., : Buddhism
 : Single, : 08-11-1973,"Hon. Dodamgoda, Dinesh Dushyantha, M.P.",,United National Party (UNP),, : Buddhism
,,"Hon. (Dr.) Dissanayake, Upali Navaratne Bandara, M.P.",,United National Party (UNP),,
 : Married, : 16-04-1929,"Hon. Dissanayake, Weerasuriya Dissanayake Mudiyanselage Punchi Banda, M.P.",,United National Party (UNP),,
 : Married, : 05-11-1899,"Hon. (Dr.) Drahaman, Mohamed Purvis, M.P.",,,, : Islam
 : Married, : 08-02-1943,"Hon. Dissanayake, Punchi Banda, M.P.",,People's Alliance (PA),, : Buddhism
 : Married, : 20-03-1942,"Hon. Dissanayake, Lionel Gamini, M.P.",,United National Party (UNP),, : Buddhism
 : Married, : 03-02-1924,"Hon. Dissanayake, Henry William, M.P.",,Sri Lanka Freedom Party(SLFP),,
 : Married, : 07-11-1910,"Hon. Dissanayake, Dissanayake Mudiyanselage Andrew, M.P.",,Sri Lanka Freedom Party(SLFP),,
,,"Hon. Dissanayake, Mudiyansege Suddahamy, M.P.",,Sri Lanka Freedom Party(SLFP),,
 : Married, : 09-07-1941,"Hon. Dissanayake, Jayasinghe Muhandiram Donald, M.P.",,United National Party (UNP),, : Buddhism
 : Married, : 19-11-1955,"Hon. Dissanayake, Lalitchandra Buddhisiri, M.P.",,People's Alliance (PA),, : Buddhism
 : Married, : 15-07-1954,"Hon. Dissanayake, Berty Premalal, M.P.",,People's Alliance (PA),, : Buddhism
 : Married, : 06-05-1949,"Hon. (Mrs.) Dissanayake, Dissanayke  Wannokuralalage Amara Badra, M.P.",,United National Party (UNP),, : Buddhism
 : Married, : 09-03-1958,"Hon. ROHANA DISSANAYAKE, M.P.,, M.P.", : Businessman,United People's Freedom Alliance(UPFA),"Leader of Oposition Matale Municipla Council 1991;
Mayor Matale 1997;
Leader of Oposition Matale Municiple Council 2002
Temparalary Consulter World Helth Organization Soluth Asia region", : Buddhism
 : Married, : 04-06-1931,"Hon. D.M. JAYARATNE, M.P.,, M.P.",,United People's Freedom Alliance(UPFA),, : Buddhism
,,"Hon. Dharmaratnam, Sabapathipillai, M.P.",,,,
 : Married, : 05-02-1918,"Hon. Dharmalingam,  Viswanathar, M.P.",,Tamil United Liberation Front (TULF),, : Hindu
 : Married, : 25-09-1951,"Hon. (Mrs.) Dharmawardana, Wendakoon Mudiyanselage Sujatha Kanthimathie, M.P.",,United National Party (UNP),, : Buddhism
,,"Hon. Dimbulane, Edmund Bernard, M.P.",,United National Party (UNP),,
, : 04-08-1907,"Hon. Dharmapala, Candauda Arachchige, M.P.",,United National Party (UNP),,
 : Married, : 29-05-1944,"Hon. Dias, Don Vincent, M.P.",,United National Party (UNP),, : Buddhism
 : Single, : 04-03-1935,"Hon. DEW GUNASEKARA, M.P.,, M.P.",,United People's Freedom Alliance(UPFA),Member of Parliamnent for Kalawana Electorate., : Buddhism
 : Married, : 21-02-1929,"Hon. Devaraj, Periannan Pillai, M.P.",,United National Party (UNP),, : Hindu
 : Married, : 26-03-1910,"Hon. Devanayagam, Kanapathipillai William, M.P.",,United National Party (UNP),, : Roman Catholicism
 : Widow , : 27-09-1937,"Hon. Jayawardena, Asoka, M.P.", : Management  Advisor,People's Alliance (PA),Mayor of the Ratnapura Municipal Council; Minister of the Sabaragamuwa Provincial; Chief Minister of the Sabaragamuwa Provincial Council,
, : 07-03-1916,"Hon. Delungahawatta, Wijetunga Mudiyanse Ralahamilage Sirisena Bandara, M.P.",,Sri Lanka Freedom Party(SLFP),,
 : Married, : 24-06-1907,"Hon. de Zoysa, Stanley, M.P.",,Sri Lanka Freedom Party(SLFP),,
 : Married, : 09-04-1947,"Hon. de Zoysa, Rannulu Nandimitthra G., M.P.",,United National Party (UNP),,
 : None,,"Hon. de Zoysa, Manameldura Piyadasa, M.P.",,Sri Lanka Freedom Party(SLFP),,
 : Married,,"Hon. de Zoysa, Hondamuni Ian Aloysious, M.P.",,United National Party (UNP),,
 : Married,,"Hon. de Zoysa, Garumuni Robert, M.P.",,Ceylon National Congress (CNC),,
 : None,,"Hon. de Zoysa, Erathnawalli Indrasena, M.P.",,Sri Lanka Freedom Party(SLFP),,
 : None,,"Hon. (Dr.) de Zoysa, Agampodi Paulus, M.P.",,,,
 : Single, : 09-10-1957,"Hon. De Zoysa, Ajantha, M.P.", : Company Director,People's Alliance (PA),Member Southern Provincial Council., : Buddhism
 : Married, : 09-12-1931,"Hon. De Silva, Yakupiti Piyasena, M.P.",,People's Alliance (PA),, : Buddhism
 : Married, : 15-03-1869,"Hon. de Silva, Wilmot Arthur, M.P.",,Ceylon National Congress (CNC),,
 : None,,"Hon. de Zoysa, Garumuni Arthur Wickremaratne, M.P.",,United National Party (UNP),,
 : Married, : 28-04-1873,"Hon. de Zoysa, Francis, M.P.",,,,
 : Married, : 12-04-1902,"Hon. de Silva, Walwin Arnold, M.P.",,Independent (Ind),,
, : 20-09-1921,"Hon. (Dr.) de Silva, Walinetti Danister, M.P.",,Sri Lanka Freedom Party(SLFP),,
, : 15-10-1916,"Hon. de Silva, Ruwanpura Lakshman, M.P.",,United National Party (UNP),,
 : Married, : 14-03-1917,"Hon. de Silva, Merril Vernon, M.P.",,United National Party (UNP),,
 : None,,"Hon. de Silva, Makalandage Joseph, M.P.",,,,
 : Married, : 08-12-1908,"Hon. de Silva, Peduru Hewa William, M.P.",,Sri Lanka Freedom Party(SLFP),,
 : Married, : 21-01-1935,"Hon. de Silva, Pettagan Dedreck Weerasingha, M.P.",,Lanka Sama Samaja Party (LSSP),,
 : Married, : 16-10-1943,"Hon. De Silva, Asoka Weerasinghe, M.P.",,People's Alliance (PA),, : Buddhism
 : Married, : 31-08-1920,"Hon. de Silva, Lokuge Chandradasa, M.P.",,Lanka Sama Samaja Party (LSSP),,
 : Married, : 16-10-1913,"Hon. de Silva, Kutti Chulananda, M.P.",,Sri Lanka Freedom Party(SLFP),,
 : Married, : 03-12-1948,"Hon. de Silva, Hettihewage Chandraman, M.P.",,United National Party (UNP),,
 : Married, : 08-08-1898,"Hon. de Silva, George Reginald, M.P.",,United National Party (UNP),,
 : Married, : 06-03-1920,"Hon. de Silva, Gonapeenuwala Vithanage Sirisena, M.P.",,United National Party (UNP),,
 : Married,,"Hon. de Silva, Edmund Fredrick Lorenz, M.P.",,United National Party (UNP),, : Roman Catholicism
 : Married, : 16-06-1917,"Hon. de Silva, Dangedera Gamage Albert, M.P.",,United National Party (UNP),,
 : Married, : 08-06-1879,"Hon. de Silva, George Edmund, M.P.",,United National Party (UNP),,
, : 16-04-1912,"Hon. de Silva, Charles Percival, M.P.",,Sri Lanka Freedom Party(SLFP),,
 : Married, : 16-02-1907,"Hon. (Dr.) de Silva, Colvin Reginald, M.P.",,Lanka Sama Samaja Party (LSSP),,
 : None,,"Hon. de Silva, Charles Edward Perry, M.P.",,,,
,,"Hon. de Silva, Arthur Hubert, M.P.",,Sri Lanka Freedom Party(SLFP),,
 : Married, : 31-07-1929,"Hon. de Mel, Vidanalage Wimalasiri Premanatha, M.P.",,Lanka Sama Samaja Party (LSSP),,
 : Married, : 08-11-1894,"Hon. de Mel, Reginald Abraham, M.P.",,United National Party (UNP),,
 : Married, : 11-04-1925,"Hon. De Mel, Ronald Joseph Godfrey, M.P.",,People's Alliance (PA),Resigned from the old Ceylon Civil Service and entered Parliament in 1967;  Was a Member of every Parliament since then.,
,,"Hon. de Mel, Hugh Edmund Peter, M.P.",,United National Party (UNP),,
 : Married, : 25-04-1900,"Hon. de Fonseka, Kalutarawedage Deepal Susantha, M.P.",,Independent (Ind),,
 : Married,,"Hon. de Mel, Henry Lawson, M.P.",,Ceylon National Congress (CNC),,
, : 19-01-1914,"Hon. de Alwis, William Neal, M.P.",,Lanka Sama Samaja Party (LSSP),,
 : Married, : 21-08-1919,"Hon. (Dr.) de Alwis, Maha Amarasinghage Anandatissa, M.P.",,United National Party (UNP),,
 : None, : 24-12-1970,"Hon. (Ven.) Dayarathana Thero, Akmeemana Thero, M.P.",,Jathika Hela Urumaya (JHU),Started Politics as a member of Sihala Urumaya Party, : Buddhism
,,"Hon. Dassanayake, Upali Mervyn Senarath, M.P.",,United National Party (UNP),,
,,"Hon. Dassenaike, Stephen William, M.P.",,LabourParty (LP),,
, : 10-03-1910,"Hon. Dassanayake, Hewananarachchige Ivan Tiddy, M.P.",,United National Party (UNP),,
 : Married, : 16-08-1957,"Hon. Dassanayake Mudiyanselage Shantha Kumara, M.P.", : Business,People's Alliance (PA),"Organizer, Kotmale S. L. F. P. for 04 Years; 02 Years of the Central Province M. P; With Mr. Ananda Dassanayaker\'s Political Life",
 : Married, : 14-04-1920,"Hon. Dassanayake, Dassanayake Mudiyanselage Loku Banda, M.P.",,United National Party (UNP),, : Buddhism
 : Married, : 24-12-1951,"Hon. (Mrs.) Daniel, Mahahitana Arachchige Rupa Sriyani, M.P.",,United National Party (UNP),, : Buddhism
 : Married, : 29-04-1953,"Hon. Dasanayaka, Dasanayaka Mudiyanselage, M.P.", : Businessman.,United People's Freedom Alliance(UPFA),Active Member of SLFP from its begining., : Buddhism
, : 24-10-1953,"Hon. Daniel, Mahahitana Arachchige Anura, M.P.",,United National Party (UNP),,
 : Married, : 16-04-1920,"Hon. Dassanayake, Dassanayake Mudiyanselage Ananda, M.P.",,Sri Lanka Freedom Party(SLFP),,
 : None,,"Hon. Dassanayaka, K.H.W. Somasara, M.P.",,Sri Lanka Freedom Party(SLFP),,
, : 04-02-1929,"Hon. Dahanayake, Wijesekara Sumanapala, M.P.",,Lanka Sama Samaja Party (LSSP),,
,,"Hon. Daniel, Mahahitana Arachchige, M.P.",,United National Party (UNP),,
 : Married, : 22-10-1902,"Hon. (Dr.) Dahanayake, Wijayananda, M.P.",,United National Party (UNP),,
, : 19-11-1912,"Hon. Fonseka, Wanniarachchige Martinus Bibile, M.P.",,United National Party (UNP),,
 : Married, : 25-07-1925,"Hon. Fonseka, Hewafonsekage Augusteenu, M.P.",,Sri Lanka Freedom Party(SLFP),,
 : Married, : 16-02-1926,"Hon. Franciscu, Thomaratne Don, M.P.",,United National Party (UNP),,
 : Married,,"Hon. Fonseka, Gampolage Pathmin, M.P.",,United National Party (UNP),,
, : 10-08-1887,"Hon. Forbes, Oswald Boyd (Colonel), M.P.",,,,
 : Married, : 11-01-1953,"Hon. Fernandopulle, Jeyaraj, M.P.", : Attorney-at-Law,United People's Freedom Alliance(UPFA),-, : Roman Catholicism
 : Married, : 21-03-1936,"Hon. Fonseka, Gamini, M.P.",,United National Party (UNP),, : Buddhism
 : Married, : 18-04-1923,"Hon. Fernando, Weerahennedige Theodore Wilfred Meryl, M.P.",,Lanka Sama Samaja Party (LSSP),,
 : Married, : 25-10-1917,"Hon. Fernando, Wattage Ithalis, M.P.",,United National Party (UNP),, : Buddhism
 : Divorced, : 08-08-1941,"Hon. Fernando, Tyronne Lyle Delano, M.P.", : Attorney-at-Law,United National Party (UNP),Involved in active politics from 1977,
 : Married, : 18-11-1895,"Hon. Fernando, Warushahennedige Leo, M.P.",,United National Party (UNP),,
 : Married, : 19-04-1948,"Hon. Fernando, Warnakulasuriya Theres Yvonne Sriyani, M.P.",,People's Alliance (PA),, : Roman Catholicism
 : Married, : 17-11-1916,"Hon. Fernando, Warnakulasuriya Ichchampullige Hugh, M.P.",,United National Party (UNP),, : Roman Catholicism
 : Married, : 17-11-1896,"Hon. Fernando, Thomas Quentin, M.P.",,United National Party (UNP),,
 : Married, : 09-03-1931,"Hon. (Dr.) Fernando, Sirikkaththuge Neville Arthur, M.P.",,Sri Lanka Freedom Party(SLFP),, : Buddhism
,,"Hon. Fernando, Thanthulage William, M.P.",,Sri Lanka Freedom Party(SLFP),,
 : Married, : 24-03-1923,"Hon. Fernando, Nicholas Denzil, M.P.",,United National Party (UNP),, : Roman Catholicism
, : 12-12-1916,"Hon. Fernando, Merennage Maurice Ruskin, M.P.",,United National Party (UNP),,
 : Married, : 17-02-1942,"Hon. Fernando, Kachchakaduge Godfrey Joseph, M.P.",,People's Alliance (PA),, : Roman Catholicism
 : Married, : 15-08-1896,"Hon. Fernando, Mihindukulasuriya Julian Joseph, M.P.",,Independent (Ind),,
 : Married, : 13-12-1915,"Hon. Fernando, Andige Jinadasa, M.P.",,Sri Lanka Freedom Party(SLFP),,
,,"Hon. Fernando, Elabadage Nimal Upatissa, M.P.",,Janatha Vimukthi Peramuna (JVP),,
 : Married, : 30-09-1903,"Hon. (Dr.) Fernando, Hector Hieronymus, M.P.",,Lanka Sama Samaja Party (LSSP),,
 : Widow , : 20-08-1953,"Hon. (Mrs.) FERIAL ISMAIL ASHRAFF, M.P.,, M.P.",,United People's Freedom Alliance(UPFA),-, : Islam
,,"Hon. Fellows-Gorden, Abdy, M.P.",,,,
 : Married, : 20-06-1941,"Hon. Farook, Unus Lebbe Mohamed, M.P.",,United National Party (UNP),, : Islam
 : Married, : 16-03-1952,"Hon. Hurulle, Themiya Loku Bandara, M.P.",,United National Party (UNP),,
, : 19-08-1945,"Hon. FELIX PERERA, M.P.,, M.P.",,United People's Freedom Alliance(UPFA),, : Roman Catholicism
 : Married, : 19-01-1919,"Hon. Hurulle, Edwin Loku Bandara, M.P.",,United National Party (UNP),,
, : 29-12-1893,"Hon. Fareed, Razik, M.P.",,Sri Lanka Freedom Party(SLFP),,
 : None,,"Hon. Hunter, Louis Lucien, M.P.",,,,
 : None,,"Hon. Hewavitarane, Raja, M.P.",,,,
 : None,,"Hon. Hewavitarane, Neil, M.P.",,,,
 : Married, : 28-06-1932,"Hon. H.G.P. Nelson, M.P.", : Businessman,United National Party (UNP),A member of the united National Party since 1956., : Buddhism
 : None, : 15-07-1920,"Hon. Hettige, Sirisena, M.P.",,United National Party (UNP),,
 : Married, : 13-10-1927,"Hon. Hettiarachchi, Indradasa, M.P.",,United National Party (UNP),,
 : None, : 03-05-1919,"Hon. Hettiarachchi, Don Frank, M.P.",,Sri Lanka Freedom Party(SLFP),,
 : Married, : 08-11-1923,"Hon. Herath, Tikiri Banda Mudiyanselage, M.P.",,Sri Lanka Freedom Party(SLFP),,
 : Married, : 08-02-1937,"Hon. Herath, Wannihamy Yasapala, M.P.",,United National Party (UNP),,
 : Married,,"Hon. Herath, Sivuratne Yapabandara Semasinghe Bandara (Dr.), M.P.",,United National Party (UNP),,
,,"Hon. Herath, Kirinde Mudiyanselage Nimal, M.P.",,,,
, : 08-07-1928,"Hon. Herath, Maitripala, M.P.",,Sri Lanka Freedom Party(SLFP),,
 : Married, : 29-06-1923,"Hon. Herath, Sirisena Bandara, M.P.",,United National Party (UNP),, : Buddhism
 : Married, : 10-11-1930,"Hon. Herath, James Edward Harold, M.P.",,United National Party (UNP),, : Buddhism
 : Married, : 16-02-1916,"Hon. Herath, Kalukumara Wanninayake Range Bandaralage Kavisena, M.P.",,United National Party (UNP),,
 : Married, : 24-11-1950,"Hon. Herath, Herath Mudiyanselage Nandasena, M.P.",,,,
 : Married, : 15-08-1933,"Hon. Herath, Herath Mudiyanselage Tilakaratna Banda, M.P.",,Sri Lanka Freedom Party(SLFP),,
 : Married, : 11-03-1942,"Hon. Herath, Herath Mudiyanselage Dingiri Banda, M.P.",,United National Party (UNP),,
 : Married, : 05-09-1945,"Hon. Herath, Gane Arachchilage Mahiepala, M.P.",,,, : Buddhism
 : Married, : 19-03-1946,"Hon. JAYATILAKE PODINILAME, M.P.",,United National Party (UNP),Chairman of the Glaligamuwa Electorate UNP Branch Office from 1968;  Chairman of the UNP Madhyama Bala Mandala in 1970; Branch Secretary of the UNP Trade Uniion;  District organiser;  Vice Chairman of the Rambukkana Electorate Bala Mandala -1977;  Assistant Secreatry of the Ceylon Estate Workers Congress;,
 : Married, : 23-11-1954,"Hon. THILAKARATNE WITHANACHCHI, M.P.",,United People's Freedom Alliance(UPFA),, : Buddhism
 : Married, : 25-12-1959,"Hon. HEMAL GUNASEKERA, M.P., , M.P.",,United People's Freedom Alliance(UPFA),"Contested for Municaipal Council, Weligama;Vice Chairman, Municipal Council Weligama;Elected to Southern Provincial Council 1994;Minster of Agriculture, Land, Irrigation and Animal Products, Southern Provincial Council 1994;Obtained the majority of Preferential Votes at the 2009 Southern  Provincial Council Election and held the ministerial portfolio of Hifgways and Media", : Buddhism
,,"Hon. Hemachandra, Kalyanaratne, M.P.",,United National Party (UNP),,
 : Married, : 12-07-1953,"Hon. HEMAKUMARA NANAYAKKARA, M.P.", : Agriculturist,United National Party (UNP),1989 - 94 - S. L. F. P. Member of parliament;   Leader of the Opposition - Galle Municipal Council U. N. P.;  Leader of the Opposition -  Sourthern Provincial Council U. N. P., : Buddhism
 : Single, : 24-05-1976,"Hon. H.M. WASANTHA SAMARASINGHE, M.P.",,United People's Freedom Alliance(UPFA),, : Buddhism
, : 10-03-1922,"Hon. Heen Bandara, Bamunusinghe Arachchige, M.P.",,Sri Lanka Freedom Party(SLFP),,
 : Married, : 15-04-1929,"Hon. Harischandra, Muramudali Arachchilage Piyadasa, M.P.",,Sri Lanka Freedom Party(SLFP),,
 : Married, : 03-08-1957,"Hon. Hapangama, Anura Pradeep, M.P.",,United National Party (UNP),, : Buddhism
 : Married, : 10-04-1927,"Hon. Hameed, Abdul Cader Shahul, M.P.",,United National Party (UNP),, : Islam
 : Married, : 02-02-1945,"Hon. A.L.M. HAFRATH, M.P.", : Medical Consultant - Specialist.,United National Party (UNP),Pioneer in organising Sri Lanka Muslim Congress from 1982., : Islam
, : 11-01-1901,"Hon. Gunawardena, Don Philip Rupasinghe, M.P.",,Mahajana Eksath Peramuna (MEP),, : Buddhism
 : Married, : 15-03-1946,"Hon. H.R. MITHRAPALA ,M.P.,, M.P.", : Attorney-at-Law,United People's Freedom Alliance(UPFA),"1999 June MP
2004 June MP", : Buddhism
, : 12-03-1904,"Hon. Gunawardena, Don Benjamin Rupasinghe (Robert), M.P.",,Mahajana Eksath Peramuna (MEP),,
 : Married, : 13-07-1942,"Hon. Gunawardena, Bamunu Arachchi Pathirannehelage Lionel, M.P.",,People's Alliance (PA),, : Buddhism
