content,date,title
"A delegation from Turkey headed by Hon. Mevlüt Cavuşoğlu, Foreign Minister of the Republic of Turkey visited Parliament of Sri Lanka on 15th June 2016.,The delegation paid a courtesy call on Hon. Karu Jayasuriya, Speaker at Parliamentary complex and also met with Members of the Sri Lanka – Turkey Parliamentary Friendship Association.",16-06-2016,Visit of the Foreign Minister of the Republic of Turkey
"A delegation consisting of former diplomats, academics and university students visited Parliament on the 11th of July 2016. Deputy Speaker, the Hon. Thilanga Sumathipala and Secretary General of Parliament, Mr Dhammika Dasanayake met the delegation from the Australian Institute of International Affairs (AIIA).,The Australian Institute of International Affairs (AIIA) is a think tank that aims to promote the understanding of international affairs in Australia and reaches out to similar organisations overseas. The Victorian branch of AIIA (AIIAV) currently has a delegation of 20 members in Sri Lanka that aims to learn about the country, see the development of the country and the reconciliation efforts. The delegation is spending time in Colombo, Jaffna, Anuradhapura, Kandy and Dambulla and will visit Australian and other aid projects, UNESCO world heritage sites, a tea plantation and get an insight into the country's commercial endeavours by visiting a garment factory.,The tour is led by Mr David Ritchie, former Australian High Commissioner to Sri Lanka. The AIIAV's president Mr Patrick Moore is also among the delegation. This tour was organised in part by Sri Lankan born Sean Jesudason, who is part of the AIIAV Council.,The delegation wished the Sri Lankan Parliament every success in forming the new Sri Lankan Constitution and looks forward to an enriched relationship between the two countries. The delegation looks forward to interacting with the Sri Lankan diaspora in Australia to create more people-to-people ties and foster a greater understanding of Sri Lanka in Australia.",12-07-2016,Study Tour to Sri Lanka by the Australian Institute of International Affairs (AIIA)
"Parliament resolved this day to appoint a Committee of Parliament hereinafter referred to as the 'Constitutional Assembly' which shall consist of all Members of Parliament, for the purpose of deliberating, and seeking the views and advice of the People, on a new Constitution for Sri Lanka, and preparing a draft of a Constitution Bill for the consideration of Parliament in the exercise of its powers under Article 75 of the present Constitution.",09-03-2016,Parliament resolves to appoint the Constitutional Assembly
"Parliament today approved the nomination of non-Members of Parliament , and , to the Constitutional Council in terms of paragraph (5) of Article 41A of the Constitution, on the nomination of both the Prime Minister and the Leader of the Opposition under sub-paragraph (e) of paragraph (1) and paragraphs (4) and (5) of Article 41A of the Constitution.,Mr. Ariyaratne is a renowned social worker and Mr. Aziz is a ‍former Attorney-General. Ms. Coomaraswamy is a former Under-Secretary-General of the United Nations.,When nominating these persons the constitution requires to consult the leaders of political parties and independent groups represented in Parliament so as to ensure that the Constitutional Council reflects the pluralistic character of Sri Lankan society, including professional and social diversity. It also requires that they shall be persons of eminence and integrity who have distinguished themselves in public or professional life and who are not members of any political party.",22-09-2015,Parliament approves three non-MP nominees to Constitutional Council
"A Parliamentary delegation led by Mr. Ronen Plot, Director General of the Knesset (House of Representatives of the State of Israel) visited Sri Lanka from 24, to 30, of September 2015. The delegation met and held discussions with several senior officers of the Parliament Secretariat including the Secretary-General of Parliament. During the visit, they were also conducted on city and outstation excursions.",30-09-2015,Visit of the Israel parliamentary delegation
"Capacity Building Programme on Social Media for Development and Governance for the Members of the Parliament was held on 8th of October 2015 at the Committee Room no. 01 of Parliamentary Complex. This Programme was jointly organized by UN-APCICT and the Information and Communication Technology Agency of Sri Lanka (ICTA).,The primary objective of this programme was to train the participants on how to leverage social media and other emerging ICT trends for national development of our country.,This occasion was graced by the presence of the Hon. Thilanga Sumathipala, Deputy Speaker and Chairman of Committees of Parliament of Sri Lanka and the Hon. Members of Parliament together with Dr. Hyeun-Suk Rhee, Director, UN-APCICT/ESCAP, Mrs. Chithranganie Mubarak, Chairperson, ICTA, Mr. Muhunthan Canagey, CEO/MD, ICTA and several other Resource Persons.",09-10-2015,Briefing on Social Media for Development and Governance for the Members of the Parliament
"Parliament today resolved to suspend Standing Order Nos. 104 to 120 of Parliament establishing 16 committees named “Sectoral Oversight Committees”. These committees are empowered to examine all Bills, Resolutions, Treaties, Reports and Other Matters relating to subjects within their jurisdiction.,The Committee of Selection will allocate the subjects, functions, departments and institutions assigned to Ministries under Articles 43(1) and 44(2) of the Constitution to the appropriate Sectoral Oversight Committee. All Bills, Resolutions, Treaties, Reports and Other Matters within their jurisdiction will be referred to the relevant Sectoral Oversight Committee before being considered by the Parliament.,The sixteen committees are as follows:-,Parliament also resolved to establish a Committee to be designated as the “Committee on Public Finance”. It will consist of a Chairman and eleven members nominated by the Committee of Selection. The Chairman will be elected by the Members of the Committee.,Its duties will include the examination of, the collection of revenue under Article 148 of the Constitution, the payment from the consolidated fund under Article 149(1) of the Constitution, the implementation of the Appropriation Act for the current year, etc.",19-12-2015,Parliament approves to establish Sectoral Oversight Committees and Committee on Public Finance
"A delegation from Russia headed by Mr. Umakhanov Iliyas, Vice Chairman of the Council of Federation (Upper Chamber) of the Federal Assembly of the Russian Federation visited Parliament of Sri Lanka on 1, December 2015.,The delegation paid a courtesy call on Hon. Karu Jayasuriya, Speaker at Parliamentary complex and attended the Luncheon meeting hosted by the Hon. Thilanga Sumathipala, Deputy Speaker with Members of the Sri Lanka – Russia Parliamentary Friendship Association.",01-12-2015,Visit of the delegation from Russia
"Poppy flowers were pinned on the Hon. Prime Minister, Hon. Speaker and Hon. Members of Parliament in the morning of 03.11.2015 to commemorate the Armed Forces Poppy Day Ceremony (2015). Poppies were also pinned on the parliament & ancillary staff members including the Acting Secretary General of Parliament.,Various countries in the world observe the “Poppy Day” for different reasons, although its commemoration began in Commonwealth Nations after the end of the First World War to remember the members of armed forces who died in the line of duty.,This year’s “Poppy Day” commemoration ceremony will be held near the Vihara Maha Devi Park in Colombo on the 8th of November.",03-11-2015,"Poppy flowers pinned on Prime Minister, Speaker and Members of Parliament"
"A ceremony to launch the first ever official Mobile App of the Parliament of Sri Lanka will be held on the 7, of January at 10.00 a.m. at the Committee Room no. 1 of Parliament. Here, the Parliament’s Mobile App will be unveiled ceremonially by the Hon. Speaker Karu Jayasuriya.",05-01-2016,Parliament to launch a Mobile App
"The official Mobile App of the Parliament of Sri Lanka was launched at the Parliamentary Complex by the Hon. Speaker Karu Jayasuriya on January 07, 2016. The event was held at the Committee Room no. 1 of Parliament. The occasion was attended by Secretary General of Parliament, Deputy Secretary General of Parliament, Assistant Secretaries General of Parliament, higher officials & staff of the Parliament and media personnel.,Addressing the occasion, the Hon. Speaker said that although there are 189 parliaments in the world, only a few have created a mobile app, making this a moment of pride for the Parliament of Sri Lanka. He also briefly outlined activities planned for the future and mentioned that this event is a step towards creating an exemplary parliament.,The Parliament of Sri Lanka envisages using Information and Communication Technology tools to enhance capabilities in its key functional areas & empower the average citizen with knowledge and information on important issues of the country and of parliamentary decisions that impact their daily life, and thereby enable them to become active partners in the country’s development process.,At present, mobile apps have become a popular and effective mode of communication amongst the general public. In this backdrop, several parliaments around the world have deployed their own mobile apps in order to extend the access of parliamentary and legislative information to the general public through mobile devices.,This mobile app provides parliamentary information including Member information, Acts & Bills, Questions and Answers, Calendar, News, Statistics etc. Documents such as Hansard, Order Papers, Order Books, Addendums and Committee Reports also can be viewed or downloaded through the app. Parliament proceedings too can be watched live or viewed as on-demand. Further, the users could contact Members of Parliament or the Secretariat via the app. All content are offered in Sinhala, Tamil and English languages giving the user the ability to use the app in his/her preferred language. More features and improvements will be added in the future.,Parliament’s Mobile App introduces an interactive channel and is expected to reduce the gap between Parliament and the citizens while improving access to information and increasing transparency.,The development of the Mobile App for Parliament was done by Bhasha Lanka (Pvt) Ltd. It is available for ,, , and , platforms.,Any inquiries or comments regarding the mobile app can be sent to ,.",07-01-2016,Parliament of Sri Lanka unveils its Official Mobile App
"The Parliament of Sri Lanka and the Commonwealth Parliamentary Association Sri Lanka Branch are hosting a Commonwealth Regional Seminar on the Role of Parliamentarians in the Promotion and Protection of Human Rights.,The Seminar is taking place from 1 to 3 February 2016 at Cinnamon Lakeside Hotel in Colombo. This occasion was graced by the Hon. Prime Minister, the Hon. Speaker, the Hon. Deputy Speaker, the Hon. Deputy Chairman of Committees, Hon. Ministers, Hon. Members of Parliament, Human Rights experts from Sri Lanka and Hon. Members of Parliaments from India, Pakistan, Bangladesh, Maldives and Malaysia.",02-02-2016,Sri Lanka hosts CPA Asia Regional Human Rights Seminar for Parliamentarians
"Commonwealth Secretariat, Commonwealth Parliamentary Association and Commonwealth Parliamentary Association (Sri Lanka Branch) will jointly organize a seminar on the Role of Parliamentarians in the Promotion and Protection of Human Rights from 1st to 3rd February 2016 for the CPA Asia, India, and South East Asia Regions to be jointly convened by the CPA Secretariat and Human Rights Unit of Commonwealth Secretariat.,Delegates from Bangladesh, India, Malaysia, Maldives, Pakistan and Sri Lanka are due to attend this seminar representing CPA India, Asia and South East Asia Regions. Delegation of Sri Lanka will comprise of Hon. Mahinda Samarasinghe, MP, Minister of Skills Development and Vocational Training, Hon. (Mrs.) Thalatha Atukorale, MP, Minister of Foreign Employment, Hon. Nalin Bandara Jayamaha, MP, Hon. Vijitha Herath, MP, Hon. Imran Maharoof, MP and Hon. (Mrs.) Shanthi Sriskandarasa, MP.,Hon. Ranil Wickremesinghe, Prime Minister and Minister of National Policies and Economic Affairs will be the Chief Guest at Opening Ceremony to be held on 1st February 2016 at Cinnamon Lakeside Hotel. Hon. Karu Jayasuriya, MP, Speaker will grace this occasion delivering the welcome speech at the inauguration.,The 1st session of the Seminar will commence following the Opening Ceremony and continue for 3 days from 1st to 3rd February 2016. The sessions will be conducted under the theme “The Role of Parliamentarians in the Promotion and Protection of Human Rights” on the following topics;,1. Introduction, Objectives and Expectations,2. Parliamentarians and their Role in the Promotion and Protection of Human Rights,3. The International Human Rights Protection System ,4. Regional Challenges: freedoms of expression, peaceful assembly, and association ,5. Regional Challenges: Group dialogue,6. National Human Rights Institutions,7. Parliamentarians and the Universal Periodic Review Process,8. (a) Regional Challenges (cont’d): freedom of thought, conscience and religion; violent extremism,    (b) Regional Challenges (cont’d): child, early and forced marriage,9. Regional Challenges: Group dialogue,10. Development of recommendations,11. Formulation of Recommendations and Follow-up Actions (cont’d),12. Finalisation of Regional Declaration and Parliamentarians’ Commitments,13. Finalisation of Regional Declaration and Parliamentarians’ Commitments (cont’d),Hon. (Dr.) Wijeyadasa Rajapakshe, MP, Minister of Justice and Minister of Buddhasasana will be a Panelist on the topic Parliamentarians and their Role in the Promotion and Protection of Human Rights while Hon. Mahinda Samarasinghe, Minister of Skills Development and Vocational Training will also chair a session on the topic Parliamentarians and the Universal Periodic Review Process.",28-01-2016,CPA Asia Regional Seminar on the Role of Parliamentarians in the Promotion and Protection of Human Rights
"A ceremony to unveil the portrait of the late Hon. D.B. Wijetunga, the former President will be held on the 11th of February at 11.00 a.m. at the Parliamentary Complex. The Portrait will be ceremonially unveiled by the His Excellency President Maithripala Sirisena.",09-02-2016,Ceremony on unveiling of the Portrait of the Former President
"The Parliament of Sri Lanka in collaboration with the USAID-funded Sri Lanka Parliament Project held a training program on “CAPACITY DEVELOPMENT PROGRAMME FOR PARLIAMENTARY STAFF TOWARDS GOOD GOVERNANCE”, for the staff of the Secretary-General of Parliament. The Program was held from 1st to 3rd March 2016, at CITRUS Hotel, Waskaduwa, and around 150 Secretariat staff participated in the program. The objective of the program was to strengthen and motivate the professional staff of the Parliament to improve their performance, and effectively support the Members of Parliament in their role as legislators. The program provided an opportunity for the staff members to discuss team work and team building; gender and empowerment of women; research methodologies; and Committee structures and Standing Orders. Some examples from other parliamentary democracies were also discussed to enhance the knowledge of the staff.,This training program is the fourth of a series of training workshops which the USAID-funded Sri Lanka Parliament Project has organized since the start of the short term project in October 2015. The project will continue to support the Parliament of Sri Lanka in its efforts to upgrade its standards and develop the Staff. Hon. Karu Jayasuriya, MP – Speaker of Parliament of Sri Lanka, Hon. Thilanga Sumathipala, MP – Deputy Speaker of Parliament, and Hon. Selvam Adaikkalanathan, MP - Deputy Chairman of Committees Parliament, Mr. Dhammika Dasanayake – Secretary General of Parliament, Mr. Neil Iddawala – Deputy Secretary General of Parliament, Mr. Tikiri Jayatilake, Assistant Secretary General of Parliament, Mr. Reed Aeschliman – Acting Mission Director of USAID graced the occasion.",04-03-2016,“Towards Good Governance” training workshop for the staff of Parliament
"A ceremony to unveil the portrait of the late President Hon. D.B. Wijetunga, was held at the Sri Jayewardenepura Kotte Parliament complex on 11-02-2016 at 11.00 a.m. It was held under the patronage of the His Excellency President Maithripala Sirisena.,The ceremony which was graced by Ministers and Members of Parliament including the Hon. Prime Minister Mr. Ranil Wickremesinghe, Hon. Speaker Mr. Karu Jayasuriya, Hon. Deputy Speaker Mr. Thilanga Sumathipala, Hon. Deputy Chairman of Committees Mr. Selvam Adaikkalanathan, Hon. Leader of the House Mr. Lakshman Kiriella, Hon. Leader of the Opposition Mr. Rajavarothiam Sampanthan and Hon. Chief Government Whip Mr. Gayantha Karunatileka, was also attended by the relatives of former President late Hon. D.B. Wijetunga.,The His Excellency President was received by the Hon. Speaker, Secretary General of Parliament and Serjeant-at-arms, after which the Hon. Speaker delivered the welcome speech.,The His Excellency President upon being invited by the Hon. Speaker, unveiled the portrait. Afterwards, the His Excellency President, Hon. Prime minister and Hon. Leader of the Opposition made speeches.,The vote of thanks was delivered by a relative of former President late Hon. D.B. Wijetunga and was followed by a tea party.,Hon. D.B. Wijetunga first entered Parliament by contesting for the Udunuwara seat in the General Election held in 1965, as a member of United National Party. He served in Parliament for 20 years and held in various Ministerial portfolios during 1977-1978 and 1978-1988 and in 1989 he became the Prime Minister of the Democratic Socialist Republic of Sri Lanka and served up to 1993. In 1993, he was appointed as the President of Sri Lanka and held the office till 1994.,Born on 15th February 1916, he passed away on 21st September 2008 at the age of 92 years and seven months.",11-02-2016,Unveiling of the portrait of former President late Hon. D.B. Wijetunga
"Workshop on Sectoral Oversight Committees for the Members of the Parliament is taking place from 15th to 17th of February 2016 at the Committee Room no. 01 of the Parliamentary Complex with the participation of a delegation of UK parliamentarians.,The prime objective of this workshop is to educate Members of Parliament and the Staff of the secretariat on Sectoral Oversight Committees.,The inaugural session was graced by the presence of the Hon. Prime Minister, the Hon. Speaker, the Hon. Deputy Speaker, the Hon. Deputy Chairman of Committees, Hon. Leader of the House of Parliament, Hon. Leader of the Opposition and Hon. Chief Government Whip and Secretary General of Parliament.",17-02-2016,Workshop for Members of Parliament on Sectoral Oversight Committees
"Orientation seminar for the newly elected Members of the Eighth Parliament was held in Committee Room No. 01 at the Parliamentary complex on the 10th and the 11th of September 2015.,This occasion was graced by the Hon. Prime Minister, the Hon. Speaker, the Hon. Deputy Speaker, the Hon. Deputy Chairman of Committees, the Hon. Chief Government Whip, the Hon. Members of Parliament, United Nations Resident Coordinator and Resident Representative of the United Nations Development Programme, Secretary General of Parliament, Deputy Secretary General, Assistant Secretary General and other foreign dignitaries.,The Hon. Speaker, the foreign dignitaries and the Hon. Prime Minister addressed the gathering during the inauguration. Thereafter, the orientation seminar commenced and a few international parliamentary experts and heads of several offices of Parliament made their presentations on various subjects and functions related to Parliamentary Practice and Procedure.",14-09-2015,Orientation Seminar for new Members elected to the 8th Parliament
"Parliamentary delegation headed by Hon. Vladimir Andreichenko, Chairman of the House of Representatives of the National Assembly of the Republic of Belarus visited Sri Lanka from 18th to 21st November 2014.,On 20th November 2014, Hon. Vladimir Andreichenko paid a courtesy call on Hon. Chamal Rajapaksa, Speaker at Parliamentary complex and attended the Luncheon meeting hosted by the Members of the Sri Lanka – Belarus Parliamentary Friendship Association.,Hon. Aleksandr Volchenkov, Member of the House of Representatives and Hon. Igor Marzaliuk, Member of the Council of the National Assembly of the Republic of Belarus also accompanied the Hon. Chairman to the courtesy call and the meeting",25-11-2014,Visit of the parliamentary delegation from Belarus
"Indian Prime Minister His Excellency Shri Narendra Modi, who makes a state visit to Sri Lanka on the 13, and 14, of March, 2015 is scheduled to address the Parliament on Friday the 13, at 3.15 p.m.,He will be the Fourth Indian Prime Minister to address the Members of Parliament. The last occasion was on the 6, of February, 1979 that was 36 years ago, by His Excellency Shri Morarji Desai. Before that was on the 28, of April, 1973 by Her Excellency Shrimathi Indira Gandhi and on the 13, of October, 1962 by His Excellency Shri Pandit Jawaharlal Nehru.,This is the first time an Indian Prime Minister will be accorded with the privilege of addressing the Parliamentarians assembled as a Parliament inside the Parliament Chamber at Sri Jayewardenepura Kotte with the Speaker of the House in the Chair and the Mace on the Table.,On the previous three occasions, the Indian Leaders addressed the Parliamentarians in the Assembly Hall of the Parliament Building at Colombo but the Members of Parliament were not assembled as a Parliament.,An Indian Prime Minister is making a state visit to Sri Lanka after 28 years and the last visit was by His Excellency Shri Rajiv Gandhi in July 1987.,His Excellency Shri Manmohan Singh visited Parliament along with the SAARC Heads of States on the 3, of August, 2008.",09-03-2015,Indian Prime Minister to address Parliament
"The “National Medicines Regulatory Authority” Bill was passed with Amendments by the House today after having taken a division (68 in favour; 1 against). It was presented on 03.03.2015 by the Hon. Minister of Health and Indigenous Medicine as an Urgent Bill.,Among the objects of the Authority are, ensuring the availability of safe and good quality medicine, functioning as the central regulator for all matters connected with registration, licensing, cancellation of medicines, ensuring that all activities related to registration, licensing and importation of medicines and medical devices in a transparent  and sustainable manner, encouraging the manufacturing of good quality medicines in Sri Lanka, promoting the safe and rational use of medicine, recommending appropriate amendments to laws pertaining to medicines, educating the general public, health care professionals and all stakeholders on medicine, regulating the promotion and marketing of medicines, regulating the availability of medicines, conducting post marketing surveillance on quality, safety and adverse reaction of medicines and regulating all matters pertaining to the conduct of clinical trials in Sri Lanka.,The Director-General of Health Services, the Secretary to the Treasury or his nominee and the Chief Executive Officer of the Authority are ex-officio members.  The Minister appoints specialist clinicians, professors and professionals and one of them will be the Chairman of the Authority.,The Cosmetics, Devices and Drugs Act, No. 27 of 1980, will be repealed.",06-03-2015,“National Medicines Regulatory Authority” Bill is passed
"Prime Minister of India His Excellency Shri Narendra Modi addressed the Parliament of the Democratic Socialist Republic of Sri Lanka today, the 13, of March 2015. He is the fourth visiting Premier to address the Members of Parliament assembled as a Parliament inside the Parliament Chamber at Sri Jayawardenepura Kotte. He is also the fourth Indian Prime Minister to address the Members of Parliament.",13-03-2015,Prime Minister of India addresses Parliament
"A delegation from Vietnam headed by Hon. Pham Van Linh, Vice Chairman of the Central Commission for Popularization and Education of the Communist Party of Vietnam and Chairman of the Vietnam – Sri Lanka Friendship Association visited Parliament of Sri Lanka on 19th May 2015.,The delegation paid a courtesy call on Hon. Chamal Rajapaksa, Speaker at Parliamentary complex and attended the Luncheon meeting hosted by the Hon. Speaker with Members of the Sri Lanka – Vietnam Parliamentary Friendship Association.",20-05-2015,Visit of the delegation from Vietnam
"The Bill entitled “Nineteenth Amendment to the Constitution” was passed with amendments by the House today (April 28,).,It was presented to Parliament by The Hon. Prime Minister and Minister of Policy Planning, Economic Affairs, Child, Youth and Cultural Affairs on the 24, of March 2015. The Second Reading Debate which commenced yesterday was continued today.,Second Reading of the Bill was passed by the House after having taken a division by name (215 in favour; 01 against). Subsequent to the Committee Stage, the Third Reading was passed with a majority of two-thirds after having taken a division by name (212 in favour;  01 against; 01 abstained; 10  absent).",28-04-2015,"""19th Amendment to the Constitution"" passed in Parliament"
"A felicitation ceremony to appreciate the service rendered by the Hon. Chamal Rajapaksa, Speaker, Hon. Chandima Weerakkody, Deputy Speaker and Hon. Murugesu Chandrakumar, Deputy Chairman of Committees of the Seventh Parliament was held on the 10, of July 2015 at the Staff Cafeteria of Parliament. It was organized by the Secretary General of Parliament and his staff.,Delivering the welcome address, the Secretary General of Parliament recalled the yeoman service rendered by the Speaker, Deputy Speaker and Deputy Chairman of Committees in safeguarding the independence of the Legislature and promoting the welfare of the staff of Parliament. He also wished them well for all their future endeavours. Commemorative Plaques were presented subsequently following the citations by the Assistant Secretary General.,The Message by Hon. Murugesu Chandrakumar was read by the Secretary General of Parliament. Thereafter, the Hon. Chandima Weerakkody addressed the audience. He emphasized the need for suitable peoples’ representatives citing the “March 12 declaration”. Addressing the occasion, the Hon. Speaker thanked the Secretary General of Parliament and his staff for the support provided by them. He also valued their service towards the legislature during challenging situations.,The Deputy Secretary General of Parliament delivered the Vote of Thanks, concluding the ceremony.,Earlier, the Hon. Speaker and the Hon. Deputy Speaker posed for group photographs with the staff of the Parliament Secretariat and other/ancillary staff at the Main Steps.",13-07-2015,"Felicitation of Hon. Speaker, Deputy Speaker and Deputy Chairman of Committees"
"His Excellency the President by virtue of the powers vested in him by Article 70 of the Constitution and in pursuance of the provisions of Section 10 of the Parliamentary Elections Act, No.1 of 1981, dissolved the Parliament with effect from the midnight of 26, of June 2015 and summoned the new Parliament to meet on the 1, of September 2015.,In addition to this, the date for the Parliamentary General Election has been fixed to 17.08.2015, and the nomination period has been specified as 06.07.2015 to 13.07.2015.",29-06-2015,Parliament Dissolved
"Parliament of Sri Lanka’s official website (parliament.lk) has made it to a fifth win in the “Best Government Website” category at the “,” competition organized by the LK Domain Registry. The website has also won Gold for the Sinhala and Tamil categories as well, making it three Gold awards in total.,There were around 250 contestants for this year’s competition, “BestWeb.lk 2015”. As in previous years, the number of votes, web traffic and marks by judges were taken into account when selecting the winners. Parliament’s website has previously won at this competition in ,, ,, , and ,.",29-07-2015,Three Golds for parliament.lk at “BestWeb” competition
"An Information Desk to facilitate the arrangements for the First Meeting of the First Session of the Eighth new Parliament will be operative in Parliament from 9.30 a.m. to 3.30 p.m. on Monday 24,, Tuesday 25, and Wednesday 26, August, 2015 for the convenience of Members of Parliament. All the Hon. Members of Parliament are kindly requested to be present at this occasion without fail as the arrangements have been made to provide vital information and various documents regarding parliament procedures etc. at the Information Desk.,The Hon. Members of Parliament are kindly informed to bring their National Identity Card or any other valid document to prove their identity along with them to facilitate arrival at the Parliament.,Hon. Members of Parliament are also kindly requested to complete and bring the specimen form given below if possible, in order to further simplify this task and kindly be informed that all arrangements have been made to obtain a photograph of yourself for the official identity card and hence, you are requested to be present for the same.,All the Hon. Members of Parliament and their Secretaries are kindly informed to contact the Assistant Director (Administration) of Table Office of Parliament of Sri Lanka on telephone numbers 011-2777549 / 011-2777273 / 011-2777367 and 011-2777304 on Friday 21, August, 2015 from 9.00 a.m. to 4.00 p.m. for further details.",18-08-2015,Information Desk for Members of Parliament
"The First Sitting of the Eighth Parliament will commence at 9.30 a.m. on Tuesday, September 01, 2015.,  Members of Parliament should arrive at Parliament by 9.00 a.m. the latest.  Members who accompany their spouses will alight at the Staff  Entrance.  All other Members will alight at the Members’ Entrance.  To facilitate arrival, Members are kindly requested to have the attached Car Label pasted on the inside top left-hand corner of the windscreen of their cars.,On arrival at Parliament, Members’ cars will be directed by the Police to the appropriate Car Park.,  Members of Parliament will enter the Lobbies of Parliament and will remain in the Lobbies, till the Quorum Bells are rung.,Proceedings of the Parliament will commence by the Quorum Bells being rung for five minutes from 9.25 a.m. when Members will assemble in the Chamber.  At 9.30 a.m., ringing of the Bells will be stopped and the Serjeant-at-Arms will enter the Chamber bearing the Mace. Members will rise in their places until the Serjeant-at-Arms proceeds to the Table and places the Mace on the lower rest of the Table.  After the Serjeant-at-Arms has taken his seat, the Secretary-General of Parliament will read the Proclamations made by His Excellency the President summoning the Meeting and proceed immediately to the election of Speaker.,The procedure for election a Speaker is set out in Standing Orders Nos. 3 and 4. A Member desiring to propose a name will stand in his place, and the Secretary-General of Parliament pointing to him, will make his proposal in the form prescribed in Standing Order No. 4(2).  If more than one Member stands in his place to make a proposal, the Secretary-General of Parliament will decide the Member to be called first, and on his pointing to that Member, the other Members will remain in their seats until the proposal has been made and seconded. It is usual, and greatly facilitates the proceedings, for Members intending to propose candidates for the office of Speaker to notify their intention to the Secretary-General of Parliament before the meeting begins.,When the Speaker has been elected, he will submit himself to the will of the Parliament and will be led to the Speaker’s Chair by his proposer and seconder.  Having reached the Chair the Speaker will, before sitting down, very briefly thank the Parliament for his election. On taking his seat, the Serjeant-at-Arms will take the Mace from the lower rest and place it on the Table. Thereafter, the Speaker will have the Oath or Affirmation administered to him by the Secretary-General of Parliament and sign the Roll of Members.  At this stage the Leaders of Parties will congratulate the Speaker on his election to the Chair and the Speaker will again thank the Parliament.,The Speaker will now remind Members that their first duty is to take the Oath or make the Affirmation required by law.  He will then proceed to have the Oath or Affirmation administered to Members.  Oath papers will now be distributed to Members who after taking the Oath or making the Affirmation will sign the Roll of Members and hand over the perfected and signed Oath papers to the Secretary-General of Parliament.,After the Oath or Affirmation has been administered to all Members present, the Parliament will proceed to the election of a Deputy Speaker and a Deputy Chairman of Committees in nearly the same manner as the election of the Speaker, except that the election will be conducted by the Speaker himself (Vide Standing Order No. 6).,Thereafter the Parliament will be adjourned.,[ ,]",27-08-2015,Memorandum on the Order of Business and Ceremonial at the First Sitting of the Eighth Parliament
"It was a night of high acclaim for the official website of the Parliament of Sri Lanka at the “,” awards ceremony held at the Kingsbury Hotel in Colombo on August 13th 2015. The website received three Gold awards in total for the Government, Sinhala and Tamil categories respectively. Parliament.lk has previously won on four occasions at this competition, which began in 2009.,The “BestWeb.lk” competition is a unique and innovative competition organized by the LK Domain Registry to recognise the best websites in Sri Lanka. Participants of the competition are judged on both creativity and technical achievement while the public too have the opportunity to vote for their favourite website. This year’s competition saw the participation of around 650 websites and was hotly contested.,The Award for the “Best Government Website” was presented by the chief guest of the occasion, Mr. Sanjiva Weerawarana, CEO of WSO2. Director of the Department of Information Systems & Management of Parliament received the awards on behalf of the Secretary General of Parliament.",17-08-2015,Parliament.lk crowned “Best Government Website” for the fifth time
"His Excellency Maithripala Sirisena, President of the Democratic Socialist Republic of Sri Lanka is due to present the Statement of Government Policy at the Ceremonial Sittings of the First Session of the Eighth Parliament on Tuesday, 01st September 2015 at 3.00 p.m.,The programme of the ceremony is as follows:-",28-08-2015,"Presentation of the Statement of the Government Policy by His Excellency Maithripala Sirisena, President of the Democratic Socialist Republic of Sri Lanka"
"An orientation seminar for the newly elected Members of Parliament of the 8, Parliament has been scheduled for Thursday, 10, and Friday, 11, of September 2015. The seminar will be held on the 10,, from 8.30 a.m. to 5.00 p.m. and on the 11,, from 9.00 a.m. to 5.00 p.m. in Committee Room No. 01 of the Parliament.,This seminar will provide an insight to the Parliamentary Practice and Procedure together with a brief introduction to the functions of various offices of the Parliament.,Arrangements have also been made for few international parliamentary experts to share their experience with the Members of Parliament at the seminar.",07-09-2015,Orientation Seminar for the newly elected Members of the 8th Parliament
"His Excellency Kamalesh Sharma, Commonwealth Secretary General and delegation visited Parliament on 27, October 2014 to pay a courtesy call on the Hon. Speaker. A luncheon was hosted in the CPA Dining room by Hon. Speaker in honour of this visit. Several Ministers and Members of Parliament were also present at this event. The delegation made a Parliamentary tour and witnessed the Parliamentary proceedings as well.",29-10-2014,"Visit of H.E. Kamalesh Sharma, Commonwealth Secretary General to Parliament"
"A Parliamentary Delegation from Bhutan visited the Parliament of Sri Lanka today. They are here on an invitation by the Hon. Speaker Chamal Rajapakse.,During their visit, the delegation paid courtesy calls on the Hon. Speaker, and the Hon. Deputy Speaker. This delegation is headed by H.E. (Dr.) Sonam Kinga, Chairperson of National Council of Bhutan.",09-04-2014,Visit of the parliamentary delegation from Bhutan
"The Parliament of Sri Lanka felicitated the World Cup winning Sri Lanka Cricket Team yesterday. A motion in this regard was moved by the Hon. Leader of the House of Parliament. This was followed by Members of Parliament congratulating the team on their historic achievement.,Earlier, the team was received by the Hon. Deputy Speaker, Secretary General of Parliament and the Serjeant-at-arms at the public entrance of Parliament. Thereafter, they were accommodated in the Speaker's Gallery which is reserved for distinguished visitors. Later, the team was hosted to a tea party by the Hon. Speaker.,The Sri Lanka Cricket Team won the ICC World Twenty20 tournament held in Bangladesh by defeating the Indian team in the finals held on April 6,.",10-04-2014,Parliament felicitates the Sri Lanka Cricket Team
